School,Journal,Article,Author,Year,Volume
Stanford University,Journal of Financial Economics,Machine-learning the skill of mutual fund managers,"Stijn Van Nieuwerburgh - Columbia University
Zihan Lin - Stanford University
Markus Pelger - Stanford University
Ron Kaniel - University of Rochester
Ron Kaniel - Fanhai International School of Finance (FISF)
Ron Kaniel - Reichman University",2023,150
Stanford University,Management Science,Distributionally Robust Batch Contextual Bandits,"Zhengyuan Zhou - New York University (NYU)
Nian Si - Stanford University
Jose Blanchet - Stanford University",2023,69
Stanford University,Management Science,Simple and Approximately Optimal Contracts for Payment for Ecosystem Services,"Wanyi Dai Li - Stanford University
Itai Ashlagi - Stanford University
Irene Lo - Stanford University",2023,69
Stanford University,Operations Research,Enhanced Balancing of Bias-Variance Tradeoff in Stochastic Estimation: A Minimax Perspective,"Henry Lam - Columbia University
Xinyu Zhang - Columbia University
Xuhui Zhang - Stanford University",2023,71
Stanford University,Academy of Management Journal,The Experimental Hand: How Platform-Based Experimentation Reconfigures Worker Autonomy,"Tim Weiss - Imperial College London
Hatim A Rahman - Northwestern University
Arvind Karunakaran - Stanford University",2023,66
Stanford University,Operations Research,Distributionally Robust Inverse Covariance Estimation: The Wasserstein Shrinkage Estimator,"Peyman Mohajerin Esfahani - Delft University of Technology / Technische Universiteit Delft
Daniel Kuhn - Ecole Polytechnique Federale de Lausanne (EPFL)
Viet Anh Nguyen - Stanford University",2022,70
Stanford University,Administrative Science Quarterly,Unpacking the Status-Leveling Burden for Women in Male-Dominated Occupations,"Arghavan Salles - Stanford University
M Teresa Cardador - University of Illinois at Urbana-Champaign
Patrick L Hill - Washington University in St. Louis",2022,67
Stanford University,Organization Science,We Are All Theorists of Technology Now: A Relational Perspective on Emerging Technology and Organizing,"Diane E Bailey - Cornell University
Samer Faraj - McGill University
Pamela J Hinds - Stanford University
Paul M Leonardi - University of California at Santa Barbara
Georg Von Krogh - ETH Zurich",2022,33
Stanford University,Administrative Science Quarterly,Status-Authority Asymmetry between Professions: The Case of 911 Dispatchers and Police Officers Open,"Arvind Karunakaran - McGill University
Arvind Karunakaran - Stanford University",2022,67
Stanford University,Management Science,The Hidden Cost of Worker Turnover: Attributing Product Reliability to the Turnover of Factory Workers,"Prashant Loyalka - Stanford University
Patrick Bergemann - University of California at Irvine
Ken Moon - University of Pennsylvania
Joshua Cohen - Apple University",2022,68
Stanford University,Management Science,Evaluating Stochastic Seeding Strategies in Networks,"Dean Eckles - Massachusetts Institute of Technology (MIT)
Dean Eckles - Massachusetts Institute of Technology (MIT)
Alex Chin - Stanford University
Johan Ugander - Stanford University
Johan Ugander - Stanford University",2022,68
Stanford University,Management Science,The Social Divide of Social Distancing: Shelter-in-Place Behavior in Santiago During the Covid-19 Pandemic,"Gabriel Y Weintraub - Stanford University
Aldo Carranza - Stanford University
Marcel Goic - University of Chile
Eduardo Lara - University of Chile
Marcelo Olivares - University of Chile
Cristian Escobedo - University of Chile
Leonardo J Basso - University of Chile
Julio Covarrubia - Empresa Nacional de Telecomunicaciones
Cristian Escobedo - Empresa Nacional de Telecomunicaciones
Natalia Jara - Empresa Nacional de Telecomunicaciones",2022,68
Stanford University,Organization Science,"Organizing Form, Experimentation, and Performance: Innovation in the Nascent Civilian Drone Industry","Kathleen M Eisenhardt - Stanford University
Robert P Bremner - Electronic Arts",2022,33
Stanford University,Management Science,Distributionally Robust Mean-Variance Portfolio Selection with Wasserstein Distances,"Lin Chen - Columbia University
Xun Yu Zhou - Columbia University
Jose Blanchet - Stanford University",2022,68
Stanford University,Management Science,Experimental Design in Two-Sided Platforms: An Analysis of Bias,"Gabriel Y. Weintraub - Stanford University
Ramesh Johari - Stanford University
Hannah Li - Stanford University
Inessa Liskovich - AirBnB",2022,68
Stanford University,Management Science,Optimal Picking Policies in E-Commerce Warehouses,"Marco Pavone - Stanford University
Maximilian Schiffer - Technische Universitat Munchen / Technical University of Munich (TUM)
Patrick S Klein - Technische Universitat Munchen / Technical University of Munich (TUM)
Maximilian Schiffer - Technische Universitat Munchen / Technical University of Munich (TUM)
Gilbert Laporte - University of Bath
Gilbert Laporte - Universite de Montreal / University of Montreal
Nils Boysen - Friedrich Schiller University of Jena",2022,68
Stanford University,Operations Research,Quantile Markov Decision Processes,"Xiaocheng Li - Stanford University
Huaiyang Zhong - Stanford University
Margaret L Brandeau - Stanford University",2022,70
Stanford University,Operations Research,Always Valid Inference: Continuous Monitoring of A/B Tests,"Ramesh Johari - Stanford University
Pete Koomen - Optimizely, Inc.
Leonid Pekelis - CloudTrucks, Inc.
David Walsh - Unlearn.AI",2022,70
Stanford University,Operations Research,Technical Note-Online Hypergraph Matching with Delays,"Amin Saberi - Stanford University
Marco Pavone - Stanford University
Matt Wu Tsao - Stanford University
Maximilian Schiffer - Technische Universitat Munchen / Technical University of Munich (TUM)",2022,70
Stanford University,Operations Research,Fast Global Convergence of Natural Policy Gradient Methods with Entropy Regularization,"Shicong Cen - Carnegie Mellon University
Yuejie Chi - Carnegie Mellon University
Yuxin Chen - Princeton University
Chen Cheng - Stanford University
Yuting Wei - University of Pennsylvania",2022,70
Stanford University,Operations Research,Technical Note - Assortment Planning for Two-Sided Sequential Matching Markets,"Daniela Saban - Stanford University
Itai Ashlagi - Stanford University
Kirankumar Shiragur - Stanford University
Rahul Makhijani - Facebook",2022,70
Stanford University,Operations Research,"Online Linear Programming: Dual Convergence, New Algorithms, and Regret Bounds","Xiaocheng Li - Imperial College London
Yinyu Ye - Stanford University",2022,70
Stanford University,Operations Research,An Optimal Approximation for Submodular Maximization Under a Matroid Constraint in the Adaptive Complexity Model,"Eric Balkanski - Columbia University
Yaron Singer - Harvard University
Aviad Rubenstein - Stanford University",2022,70
Stanford University,Manufacturing and Service Operations Management,Adaptive Sequential Experiments with Unknown Information Arrival Processes,"Yonatan Gur - Stanford University
Ahmadreza Momeni - Stanford University",2022,24
Stanford University,Management Science,Managing Self-Confidence: Theory and Experimental Evidence,"Markus M Mobius - National Bureau of Economic Research (NBER)
Muriel Niederle - National Bureau of Economic Research (NBER)
Muriel Niederle - Stanford University
Paul Niehaus - Stanford University
Paul Niehaus - University of California at San Diego
Markus M Mobius - University of Michigan at Ann Arbor
Tanya S Rosenblat - University of Michigan at Ann Arbor
Markus M Mobius - Microsoft Research - Cambridge",2022,68
Stanford University,Management Science,Aligning Differences: Discursive Diversity and Team Performance,"Amir Goldberg - Stanford University
Katharina Lix - Stanford University
Melissa A Valentine - Stanford University
Sameer B Srivastava - University of California at Berkeley",2022,68
Stanford University,Operations Research,High-Dimensional Learning Under Approximate Sparsity with Applications to Nonsmooth Estimation and Regularized Neural Networks,"Yinyu Ye - Stanford University
Hongcheng Liu - University of Florida
Hung Yi Lee - University of Florida",2022,70
Stanford University,Operations Research,Smoothness-Adaptive Contextual Bandits,"Yonatan Gur - Stanford University
Stefan Wager - Stanford University
Ahmadreza Momeni - Stanford University",2022,70
Stanford University,Operations Research,Asymptotically Optimal Control of a Centralized Dynamic Matching Market with General Utilities,"Martin I Reiman - Columbia University
Lawrence M Wein - Stanford University
Jose Blanchet - Stanford University
Virag Shah - Stanford University
Linjia Wu - Stanford University",2022,70
Stanford University,Management Science,Patient Routing to Skilled Nursing Facilities: The Consequences of the Medicare Reimbursement Rule,"Ajin Lee - Michigan State University
Ginger Zhe Jin - National Bureau of Economic Research (NBER)
Susan Feng Lu - Purdue University
Ajin Lee - Stanford University
Ginger Zhe Jin - University of Maryland at College Park",2022,68
Stanford University,Journal of Financial Economics,Deleting misconduct: The expungement of BrokerCheck records,"Matthew Jacob - Harvard University
Colleen Honigsberg - Stanford University",2021,139
Stanford University,Management Science,Mostly Exploration-Free Algorithms for Contextual Bandits,"Mohsen Bayati - Stanford University
Khashayar Khosravi - Stanford University
Hamsa Bastani - University of Pennsylvania",2021,67
Stanford University,Management Science,How Economically Significant Are Unused Capacity Costs? A Large-Scale Empirical Analysis,"Merle Ederhof - Stanford University
Madhav Rajan - University of Chicago
Venky Nagar - University of Michigan at Ann Arbor",2021,67
Stanford University,Operations Research,Learning Unknown Service Rates in Queues: A Multiarmed Bandit Approach,"Ramesh Johari - Stanford University
Subhashini Krishnasamy - University of Texas at Austin
Rajat Sen - University of Texas at Austin
Sanjay Shakkottai - University of Texas at Austin",2021,69
Stanford University,Operations Research,Robust Power Management via Learning and Game Design,"Panayotis Mertikopoulos - Centre National de la Recherche Scientifique (CNRS)
Panayotis Mertikopoulos - INRIA
Zhengyuan Zhou - New York University (NYU)
Nicholas Bambos - Stanford University
Peter W Glynn - Stanford University
Aris L Moustakas - University of Athens
Panayotis Mertikopoulos - University Grenoble Alpes â”‚University of Grenoble â”‚Sciences Sociales de Grenobe",2021,69
Stanford University,Operations Research,Matching While Learning,"Yash Kanoria - Columbia University
Ramesh Johari - Stanford University
Vijay Kamble - University of Illinois at Chicago",2021,69
Stanford University,Journal of International Business Studies,Using scripts to address cultural and institutional challenges of global project coordination,"Catherine Durnell Cramton - George Mason University
Tine Koehler - University of Melbourne
Raymond E Levitt - Stanford University",2021,52
Stanford University,Strategic Management Journal,"Analytic models in strategy, organizations, and management research: A guide for consumers","Douglas P Hannah - Boston University
Ron Tidhar - Stanford University
Kathleen M Eisenhardt - Stanford University",2021,42
Stanford University,Strategic Management Journal,Do university entrepreneurship programs promote entrepreneurship?,"Charles E Eesley - Stanford University
Yong Suk Lee - Stanford University",2021,42
Stanford University,Manufacturing and Service Operations Management,Designing Informative Rating Systems: Evidence from an Online Labor Market,"Nikhil Garg - Stanford University
Ramesh Johari - Stanford University",2021,23
Stanford University,Manufacturing and Service Operations Management,Managing Congestion in Matching Markets,"Nick Arnosti - Columbia University
Ramesh Johari - Stanford University
Yash Kanoria - Stanford University",2021,23
Stanford University,Operations Research,Sample Out-of-Sample Inference Based on Wasserstein Distance,"Yang Kang - Columbia University
Jose Blanchet - Stanford University",2021,69
Stanford University,Journal of Financial Economics,Central bank communication and the yield curve,"Andrea Vedolin - Boston University
Andrea Vedolin - National Bureau of Economic Research (NBER)
Matteo Leombroni - Stanford University
Gyuri Venter - University of Warwick
Andrea Vedolin - Centre for Economic Policy Research (CEPR)
Paul Whelan - Copenhagen Business School",2021,141
Stanford University,Marketing Science,Scalable Optimal Online Auctions,"Bradley J Larsen - National Bureau of Economic Research (NBER)
Caio Waisman - Northwestern University
Bradley J Larsen - Stanford University
Dominic Coey - Facebook
Kane Sweeney - Mindstrong",2021,40
Stanford University,Management Science,The Role of Beliefs in Driving Gender Discrimination,"Katherine B Coffman - Harvard University
Christine L Exley - Harvard University
Muriel Niederle - National Bureau of Economic Research (NBER)
Muriel Niederle - Stanford University",2021,67
Stanford University,Journal on Computing,Computing Sensitivities for Distortion Risk Measures,"Jian-Qiang Hu - Fudan University
Peter W Glynn - Stanford University
Michael C Fu - University of Maryland at College Park
Yijie Peng - Peking University, Guanghua",2021,33
Stanford University,Journal on Computing,Structured Robust Submodular Maximization: Offline and Online Algorithms,"Nika Haghtalab - Cornell University
Mohit Singh - Georgia Institute of Technology
Alfredo Torrico - Ecole Polytechnique, Montreal
Nima Anari - Stanford University
Joseph Naor - Technion-Israel Institute of Technology
Sebastian Pokutta - Technische Universitat Berlin / Technical University of Berlin
Sebastian Pokutta - Zuse Institute Berlin",2021,33
Stanford University,Management Science,Kidney Exchange: An Operations Perspective,"Itai Ashlagi - Stanford University
Alvin E Roth - Stanford University",2021,67
Stanford University,Operations Research,Technical Note-Approximating Systems Fed by Poisson Processes with Rapidly Changing Arrival Rates,"Harsha Honnappa - Purdue University
Peter W Glynn - Stanford University
Zeyu Zheng - University of California at Berkeley",2021,69
Stanford University,Organization Science,"How Managers Maintain Control Through Collaborative Repair: Evidence from Platform-Mediated ""Gigs""","Hatim A Rahman - Northwestern University
Melissa A Valentine - Stanford University",2021,32
Stanford University,Organization Science,Seeing What Others Miss: A Competition Network Lens on Product Innovation,"Riitta Katila - Stanford University
Sruthi Thatchenkery - University College London",2021,32
Stanford University,Organization Science,How Do Institutional Carriers Alleviate Normative and Cognitive Barriers to Regulatory Change?,"Daniel Erian Armanios - Carnegie Mellon University
Charles E Eesley - Stanford University",2021,32
Stanford University,Administrative Science Quarterly,An Interaction Ritual Theory of Social Resource Exchange: Evidence from a Silicon Valley Accelerator,"Rekha Krishnan - Simon Fraser University
Rajiv Krishnan Kozhikode - Simon Fraser University
Karen S Cook - Stanford University
Oliver Schilke - University of Arizona",2021,66
Stanford University,Operations Research,Hidden Hamiltonian Cycle Recovery via Linear Programming,"Jiaming Xu - Duke University
Vivek Bagaria - Stanford University
David Tse - Stanford University
Jian Ding - University of Pennsylvania
Yihong Wu - Yale University",2020,68
Stanford University,Operations Research,Assignment Mechanisms Under Distributional Constraints,"Itai Ashlagi - Stanford University
Amin Saberi - Stanford University
Ali Shameli - Stanford University",2020,68
Stanford University,The Review of Financial Studies,Factors That Fit the Time Series and Cross-Section of Stock Returns,"Martin Lettau - National Bureau of Economic Research (NBER)
Markus Pelger - Stanford University
Martin Lettau - University of California at Berkeley
Martin Lettau - Centre for Economic Policy Research (CEPR)",2020,33
Stanford University,Management Science,Clearing Matching Markets Efficiently: Informative Signals and Match Recommendations,"Yash Kanoria - Columbia University
Mark Braverman - Princeton University
Itai Ashlagi - Stanford University
Peng Shi - University of Southern California",2020,66
Stanford University,Administrative Science Quarterly,"Parallel Play: Startups, Nascent Markets, and Effective Business-model Design","Rory McDonald - Harvard University
Kathleen M Eisenhardt - Stanford University",2020,65
Stanford University,Journal of International Business Studies,"The construct of institutional distance through the lens of different institutional perspectives: Review, analysis, and recommendations","W Richard Scott - Stanford University
Sjoerd Beugelsdijk - University of Groningen
Vincent E Kunst - University of Liverpool
Tatiana Kostova - University of South Carolina at Columbia
Chei Hwee Chua - University of South Carolina at Columbia
Marc van Essen - University of South Carolina at Columbia",2020,51
Stanford University,Strategic Management Journal,Get rich or die trying...finding revenue model fit using machine learning and multiple cases,"Ron Tidhar - Stanford University
Kathleen M Eisenhardt - Stanford University",2020,41
Stanford University,Journal of Finance,Understanding Systematic Risk: A Highâ€Frequency Approach,Markus Pelger - Stanford University,2020,75
Stanford University,MIS Quarterly,"For Startups, Adaptability and Mentor Network Diversity Can be Pivotal: Evidence from a Randomized Experiment on a MOOC Platform","Charles Eesley - Stanford University
Lynn Wu - University of Pennsylvania",2020,44
Stanford University,Operations Research,Technical Note - Central Limit Theorems for Estimated Functions at Estimated Points,"Jian-Qiang Hu - Fudan University
Peter W Glynn - Stanford University
Lin Fan - Stanford University
Michael C Fu - University of Maryland at College Park
Yijie Peng - Peking University, Guanghua",2020,68
Stanford University,Management Science,Dynamic Matching in School Choice: Efficient Seat Reassignment After Late Cancellations,"Itai Feigenbaum - City University of New York, Baruch College
Yash Kanoria - Columbia University
Jay Sethuraman - Columbia University
Irene Lo - Stanford University
Itai Feigenbaum - Lehman College",2020,66
Stanford University,Strategic Management Journal,"Decision weaving: Forming novel, complex strategy in entrepreneurial settings","Kathleen M Eisenhardt - Stanford University
Timothy E Ott - University of North Carolina at Chapel Hill",2020,41
Stanford University,Management Science,Risk Analysis for Large Pools of Loans,"Kay Giesecke - Stanford University
Justin A Sirignano - University of Illinois at Urbana-Champaign",2019,65
Stanford University,Operations Research,Designing Dynamic Contests,"Kostas Bimpikis - Stanford University
Shayan Ehsani - Stanford University
Mohamed Mostagir - University of Michigan at Ann Arbor",2019,67
Stanford University,Management Science,Dynamic Portfolio Execution,"Jiang Wang - Massachusetts Institute of Technology (MIT)
Kay Giesecke - Stanford University
Gerry Tsoukalas - University of Pennsylvania",2019,65
Stanford University,Management Science,Cournot Competition in Networked Markets,"Kostas Bimpikis - Stanford University
Shayan Ehsani - Stanford University
Rahmi Ilkulic - University of Chile",2019,65
Stanford University,Management Science,Dynamic Credit-Collections Optimization,"Thomas A Weber - Ecole Polytechnique Federale de Lausanne (EPFL)
Peter W Glynn - Stanford University
Naveed Chehrazi - University of Texas at Austin",2019,65
Stanford University,Operations Research,OR Forum - Public Health Preparedness: Answering (Largely Unanswerable) Questions with Operations Research - The 2016-2017 Philip McCord Morse Lecture,Margaret L Brandeau - Stanford University,2019,67
Stanford University,Manufacturing and Service Operations Management,Designing Contracts and Sourcing Channels to Create Shared Value,"Joann F de Zegher - Stanford University
Dan A Iancu - Stanford University
Hau L Lee - Stanford University",2019,21
Stanford University,Manufacturing and Service Operations Management,Fluid Teams and Knowledge Retrieval: Scaling Service Operations,"Amy C Edmondson - Harvard University
Tom Fangyun Tan - Southern Methodist University
Melissa A Valentine - Stanford University
Bradley R Staats - University of North Carolina at Chapel Hill",2019,21
Stanford University,Journal of Accounting Research,Hedge Fund Regulation and Fund Governance: Evidence on the Effects of Mandatory Disclosure Rules,Colleen Honigsberg - Stanford University,2019,57
Stanford University,Journal on Computing,Real-Time Radiation Treatment Planning with Optimality Guarantees via Cluster and Bound Methods,"Baris Ungun - Stanford University
Lei Xing - Stanford University
Stephen P Boyd - Stanford University",2019,31
Stanford University,Operations Research,On Matching and Thickness in Heterogeneous Dynamic Markets,"Maximilien Burg - Massachusetts Institute of Technology (MIT)
Patrick Jaillet - Massachusetts Institute of Technology (MIT)
Patrick Jaillet - Massachusetts Institute of Technology (MIT)
Itai Ashlagi - Stanford University
Vahideh Manshadi - Yale University",2019,67
Stanford University,Operations Research,Rare-Event Simulation for Distribution Networks,"Juan Li - Columbia University
Marvin K Nakayama - New Jersey Institute of Technology
Jose Blanchet - Stanford University",2019,65
Stanford University,Management Science,Supply Disruptions and Optimal Network Structures,"Kostas Bimpikis - Stanford University
Shayan Ehsani - Stanford University
Ozan Candogan - University of Chicago",2019,65
Stanford University,Organization Science,Which Side Are You On? The Divergent Effects of Protest Participation on Organizations Affiliated with Identity Groups,"Giacomo Negro - Emory University
Susan Olzak - Stanford University",2019,30
Stanford University,Academy of Management Journal,The Assembly of a Field Ideology: An Idea-Centric Perspective on Systemic Power in Impact Investing,"Johanna Mair - Stanford University
Lisa Hehenberger - Ramon Llull University
Ashley Metz - Tilburg University
Johanna Mair - Hertie School of Governance",2019,62
Stanford University,Operations Research,Learning to Optimize via Information-Directed Sampling,"Daniel Russo - Columbia University
Benjamin Van Roy - Stanford University",2018,66
Stanford University,Journal of Finance,Liquidity as Social Expertise,Pablo Kurlat - Stanford University,2018,73
Stanford University,Management Science,The Dynamic Spillovers of Entry: An Application to the Generic Drug Industry,"A Ronald Gallant - Pennsylvania State University at State College (Penn State)
Han Hong - Stanford University
Ahmed Khwaja - University of Cambridge",2018,64
Stanford University,Management Science,"Enculturation Trajectories: Language, Cultural Adaptation, and Individual Outcomes in Organizations","Amir Goldberg - Stanford University
V Govind Manian - Stanford University
Christopher Potts - Stanford University
Sameer B Srivastava - University of California at Berkeley",2018,64
Stanford University,Journal of Financial Economics,Exploring the sources of default clustering,"Gustavo Schwenkler - Boston University
Kay Giesecke - Stanford University
Shahriar Azizpour - Apollo Global Management",2018,129
Stanford University,Operations Research,Budget Feasible Procurement Auctions,"Gagan Goel - No Affiliation
Nima Anari - Stanford University
Afshin Nikzad - Stanford University",2018,66
Stanford University,Operations Research,Data Uncertainty in Markov Chains: Application to Cost-Effectiveness Analyses of Medical Innovations,"Joel Goh - Harvard University
Joel Goh - National University of Singapore (NUS)
Mohsen Bayati - Stanford University
Stefanos A Zenios - Stanford University
Sundeep Singh - Stanford University
David Moore - Stanford University
David Moore - Careflow Logic LLC",2018,66
Stanford University,Management Science,Dynamic Learning of Patient Response Types: An Application to Treating Chronic Diseases,"Kostas Bimpikis - Stanford University
Margaret L Brandeau - Stanford University
Dan A Iancu - Stanford University
Diana M. Negoescu - University of Minnesota at Twin Cities",2018,64
Stanford University,Operations Research,Generating Random Networks Without Short Cycles,"Mohsen Bayati - Stanford University
Andrea Montanari - Stanford University
Amin Saberi - Stanford University
Amin Saberi - Stanford University",2018,66
Stanford University,Administrative Science Quarterly,Renegotiating Spheres of Obligation: The Role of Hierarchy in Organizational Learning,Melissa A Valentine - Stanford University,2018,63
Stanford University,Strategic Management Journal,The dark side of institutional intermediaries: Junior stock exchanges and entrepreneurship,"Robert N. Eberhart - Santa Clara University
Charles E Eesley - Stanford University",2018,39
Stanford University,Production and Operations Management,Predicting Colorectal Cancer Mortality: Models to Facilitate Patient-Physician Conversations and Inform Operational Decision Making,"David Anderson - City University of New York, Baruch College
Kim Rhoads - Stanford University
Margret V Bjarnadottir - University of Maryland at College Park
Leila Zia - Wikimedia Foundation",2018,27
Stanford University,Academy of Management Journal,When Equity Seems Unfair: The Role of Justice Enforceability in Temporary Team Coordination,Melissa A Valentine - Stanford University,2018,61
Stanford University,Strategic Management Journal,How firms navigate cooperation and competition in nascent ecosystems,"Kathleen M Eisenhardt - Stanford University
Douglas P Hannah - University of Texas at Austin",2018,39
Stanford University,Operations Research,"Deterministic and Stochastic Wireless Network Games: Equilibrium, Dynamics, and Price of Anarchy","Zhengyuan Zhou - Stanford University
Nicholas Bambos - Stanford University
Peter W Glynn - Stanford University",2018,66
Stanford University,Organization Science,"Failure Is an Option: Institutional Change, Entrepreneurial Risk, and New Firm Growth","Robert N. Eberhart - Santa Clara University
Charles E Eesley - Stanford University
Kathleen M. Eisenhardt - Stanford University",2017,28
Stanford University,Strategic Management Journal,How entrepreneurs leverage institutional intermediaries in emerging economies to acquire public resources,"Daniel Erian Armanios - Carnegie Mellon University
Charles E Eesley - Stanford University
Kathleen M. Eisenhardt - Stanford University",2017,38
Stanford University,Journal of Finance,The Effect of Housing on Portfolio Choice,"Raj Chetty - National Bureau of Economic Research (NBER)
Raj Chetty - Stanford University
Adam Szeidl - Centre for Economic Policy Research (CEPR)
Adam Szeidl - Central European University
Laszlo Sandor - University of Luxembourg / Universite du Luxembourg",2017,72
Stanford University,MIS Quarterly,Healthcare Predictive Analytics for Risk Profiling in Chronic Care: A Bayesian Multitask Learning Approach,"Yu-Kai Lin - Florida State University
Shu-Hsing Li - National Taiwan University
Hung-Jen Yang - Stanford University
Hsinchun Chen - University of Arizona
Randall A. Brown - Southern Arizona VA Health Care System",2017,41
Stanford University,Operations Research,Computing Equilibria of Dynamic Games,"Sevin Yeltekin - Carnegie Mellon University
Kenneth L Judd - National Bureau of Economic Research (NBER)
Kenneth L Judd - Stanford University
Yongyang Cai - University of Chicago",2017,65
Stanford University,Operations Research,An O(log n/log log n)-Approximation Algorithm for the Asymmetric Traveling Salesman Problem,"Michel X Goemans - Massachusetts Institute of Technology (MIT)
Aleksander Madry - Massachusetts Institute of Technology (MIT)
Arash Asadpour - New York University (NYU)
Amin Saberi - Stanford University
Shayan Oveis Gharan - University of Washington at Seattle",2017,65
Stanford University,The Review of Financial Studies,"Contingent Capital, Tail Risk, and Debt-Induced Collapse","Nan Chen - The Chinese University of Hong Kong (CUHK), Shatin
Paul Glasserman - Columbia University
Behzad Nouri - Columbia University
Markus Pelger - Stanford University",2017,30
Stanford University,Academy of Management Journal,Unpacking the CEO-Board Relationship: How Strategy Making Happens in Entrepreneurial Firms,"Sam Garg - Hong Kong University of Science and Technology (HKUST)
Kathleen M Eisenhardt - Stanford University",2017,60
